column_position,column_name,column_type,null,key,default,extra
1,Calendar Year,VARCHAR,YES,,,
2,Property ID,VARCHAR,YES,,,
3,Property Name,VARCHAR,YES,,,
4,Parent Property ID,VARCHAR,YES,,,
5,Parent Property Name,VARCHAR,YES,,,
6,Year Ending,VARCHAR,YES,,,
7,"NYC Borough, Block and Lot (BBL)",VARCHAR,YES,,,
8,NYC Building Identification Number (BIN),VARCHAR,YES,,,
9,Address 1,VARCHAR,YES,,,
10,City,VARCHAR,YES,,,
11,Postal Code,VARCHAR,YES,,,
12,Primary Property Type - Self Selected,VARCHAR,YES,,,
13,Primary Property Type - Portfolio Manager-Calculated,VARCHAR,YES,,,
14,National Median Reference Property Type,VARCHAR,YES,,,
15,List of All Property Use Types (GFA) (ft²),VARCHAR,YES,,,
16,Largest Property Use Type,VARCHAR,YES,,,
17,Largest Property Use Type - Gross Floor Area (ft²),VARCHAR,YES,,,
18,2nd Largest Property Use Type,VARCHAR,YES,,,
19,2nd Largest Property Use Type - Gross Floor Area (ft²),VARCHAR,YES,,,
20,3rd Largest Property Use Type,VARCHAR,YES,,,
21,3rd Largest Property Use Type - Gross Floor Area (ft²),VARCHAR,YES,,,
22,Year Built,VARCHAR,YES,,,
23,Construction Status,VARCHAR,YES,,,
24,Number of Buildings,VARCHAR,YES,,,
25,Occupancy,VARCHAR,YES,,,
26,Metered Areas (Energy),VARCHAR,YES,,,
27,Metered Areas (Water),VARCHAR,YES,,,
28,ENERGY STAR Score,VARCHAR,YES,,,
29,National Median ENERGY STAR Score,VARCHAR,YES,,,
30,Target ENERGY STAR Score,VARCHAR,YES,,,
31,Reason(s) for No Score,VARCHAR,YES,,,
32,ENERGY STAR Certification - Year(s) Certified (Score),VARCHAR,YES,,,
33,Eligible for Certification for Report PED (Y/N),VARCHAR,YES,,,
34,ENERGY STAR Certification - Last Approval Date,VARCHAR,YES,,,
35,ENERGY STAR Certification - Application Status,VARCHAR,YES,,,
36,Site EUI (kBtu/ft²),VARCHAR,YES,,,
37,Weather Normalized Site EUI (kBtu/ft²),VARCHAR,YES,,,
38,National Median Site EUI (kBtu/ft²),VARCHAR,YES,,,
39,Site Energy Use (kBtu),VARCHAR,YES,,,
40,Weather Normalized Site Energy Use (kBtu),VARCHAR,YES,,,
41,Electricity - Weather Normalized Site Electricity Use (Grid and Onsite Renewables) (kWh),VARCHAR,YES,,,
42,Electricity - Weather Normalized Site Electricity Intensity (Grid and Onsite Renewables) (kWh/ft²),VARCHAR,YES,,,
43,Percent Electricity,VARCHAR,YES,,,
44,Natural Gas - Weather Normalized Site Natural Gas Use (therms),VARCHAR,YES,,,
45,Natural Gas - Weather Normalized Site Natural Gas Intensity (therms/ft²),VARCHAR,YES,,,
46,Source EUI (kBtu/ft²),VARCHAR,YES,,,
47,Weather Normalized Source EUI (kBtu/ft²),VARCHAR,YES,,,
48,National Median Source EUI (kBtu/ft²),VARCHAR,YES,,,
49,Source Energy Use (kBtu),VARCHAR,YES,,,
50,Weather Normalized Source Energy Use (kBtu),VARCHAR,YES,,,
51,Fuel Oil #1 Use (kBtu),VARCHAR,YES,,,
52,Fuel Oil #2 Use (kBtu),VARCHAR,YES,,,
53,Fuel Oil #4 Use (kBtu),VARCHAR,YES,,,
54,Fuel Oil #5 & 6 Use (kBtu),VARCHAR,YES,,,
55,Diesel #2 Use (kBtu),VARCHAR,YES,,,
56,Propane Use (kBtu),VARCHAR,YES,,,
57,Kerosene Use (kBtu),VARCHAR,YES,,,
58,District Steam Use (kBtu),VARCHAR,YES,,,
59,District Hot Water Use (kBtu),VARCHAR,YES,,,
60,District Chilled Water Use (kBtu),VARCHAR,YES,,,
61,Natural Gas Use (kBtu),VARCHAR,YES,,,
62,Natural Gas Use (therms),VARCHAR,YES,,,
63,Electricity Use - Grid Purchase (kBtu),VARCHAR,YES,,,
